loss,params,iteration,accuracy,f1,precision,recall
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 9}, {'filter2': 3}, {'filter3': 9})}, 'dropout': 0.3, 'filters': 200, 'learning_rate': 0.0010039423269011718, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6076,1.7231,18,0.8211,0.8248,0.8211,0.8221
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 4},)}, 'dropout': 0.3, 'filters': 250, 'learning_rate': 0.0013382333416989474, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6504,1.7387,21,0.8653,0.8717,0.8653,0.8669
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 15}, {'filter2': 5}, {'filter3': 11})}, 'dropout': 0.2, 'filters': 200, 'learning_rate': 0.0017342641960193675, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5676,1.7102,21,0.8632,0.8703,0.8632,0.8647
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 15}, {'filter2': 1}, {'filter3': 12})}, 'dropout': 0.2, 'filters': 200, 'learning_rate': 0.0018057775201468442, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5644,1.6919,24,0.8821,0.8872,0.8821,0.8821
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 9},)}, 'dropout': 0.2, 'filters': 200, 'learning_rate': 0.002136087263254243, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5885,1.7254,21,0.8716,0.8763,0.8716,0.8705
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 1}, {'filter2': 2})}, 'dropout': 0.25, 'filters': 200, 'learning_rate': 0.0017744822788911933, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6481,1.7281,24,0.8211,0.8345,0.8211,0.8252
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 13}, {'filter2': 1}, {'filter3': 13})}, 'dropout': 0.2, 'filters': 200, 'learning_rate': 0.003188047993313882, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5737,1.714,20,0.8484,0.8556,0.8484,0.8481
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 12},)}, 'dropout': 0.35, 'filters': 150, 'learning_rate': 0.01844349382417677, 'optimizer': 'Adam', 'use_batch_norm': False}",1.9931,1.9903,19,0.5979,0.4756,0.5979,0.5066
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 14}, {'filter2': 8}, {'filter3': 15})}, 'dropout': 0, 'filters': 200, 'learning_rate': 0.004753825923233566, 'optimizer': 'Adam', 'use_batch_norm': True}",2.2436,2.2367,17,0.2821,0.1099,0.2821,0.1532
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 5}, {'filter2': 15})}, 'dropout': 0.1, 'filters': 200, 'learning_rate': 0.0024049899772256413, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5669,1.7031,21,0.8337,0.8368,0.8337,0.8333
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 4},)}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.0014237672651313785, 'optimizer': 'Adam', 'use_batch_norm': True}",1.6989,1.7559,24,0.7916,0.8024,0.7916,0.7949
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 8}, {'filter2': 3}, {'filter3': 12})}, 'dropout': 0.45, 'filters': 200, 'learning_rate': 0.0019361842565843073, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5939,1.7232,22,0.8779,0.8846,0.8779,0.8795
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 14}, {'filter2': 2}, {'filter3': 4})}, 'dropout': 0.35, 'filters': 200, 'learning_rate': 0.002654316071250105, 'optimizer': 'Adam', 'use_batch_norm': True}",2.2614,2.2637,19,0.1979,0.0418,0.1979,0.0686
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 13},)}, 'dropout': 0, 'filters': 250, 'learning_rate': 0.0056970371009923805, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5766,1.7226,19,0.8337,0.8452,0.8337,0.8354
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 4}, {'filter2': 5})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.0016080608837982335, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6011,1.7237,23,0.8421,0.8513,0.8421,0.8445
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 13}, {'filter2': 12}, {'filter3': 8})}, 'dropout': 0.25, 'filters': 200, 'learning_rate': 0.0013283007736585638, 'optimizer': 'Adam', 'use_batch_norm': True}",2.0046,2.0534,12,0.5558,0.3605,0.5558,0.432
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 9},)}, 'dropout': 0.5, 'filters': 200, 'learning_rate': 0.0010026247290131963, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6763,1.7616,19,0.8189,0.8293,0.8189,0.8202
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 10}, {'filter2': 14})}, 'dropout': 0.45, 'filters': 250, 'learning_rate': 0.010643486329292502, 'optimizer': 'Adam', 'use_batch_norm': False}",2.2074,2.1745,5,0.2442,0.1208,0.2442,0.1518
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 10}, {'filter2': 7}, {'filter3': 15})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0049827123193741454, 'optimizer': 'Adam', 'use_batch_norm': True}",2.1625,2.1867,12,0.4126,0.2564,0.4126,0.2965
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 8},)}, 'dropout': 0.1, 'filters': 200, 'learning_rate': 0.007442210321309756, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6081,1.7239,24,0.8147,0.8252,0.8147,0.8172
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 4}, {'filter3': 9})}, 'dropout': 0.4, 'filters': 200, 'learning_rate': 0.0020135982196176493, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5896,1.705,24,0.8547,0.8583,0.8547,0.8552
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 3}, {'filter2': 5})}, 'dropout': 0.2, 'filters': 250, 'learning_rate': 0.0032050356328743894, 'optimizer': 'RMSprop', 'use_batch_norm': True}",2.4488,2.4439,0,0.1158,0.0134,0.1158,0.024
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 1},)}, 'dropout': 0.15, 'filters': 200, 'learning_rate': 0.0025400123222337877, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6835,1.718,23,0.8147,0.8315,0.8147,0.8147
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 8}, {'filter2': 9}, {'filter3': 1})}, 'dropout': 0, 'filters': 150, 'learning_rate': 0.0034279619615265686, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5697,1.7076,21,0.8737,0.8803,0.8737,0.8742
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 4},)}, 'dropout': 0.35, 'filters': 200, 'learning_rate': 0.004174824686793212, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.6668,1.7279,20,0.8232,0.8332,0.8232,0.8243
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 14}, {'filter2': 6}, {'filter3': 7})}, 'dropout': 0.25, 'filters': 200, 'learning_rate': 0.0021528601815900697, 'optimizer': 'Adam', 'use_batch_norm': True}",1.9203,1.9885,17,0.6779,0.5266,0.6779,0.5862
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 7}, {'filter2': 5})}, 'dropout': 0.15, 'filters': 250, 'learning_rate': 0.0028929802384033373, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4549,2.4431,15,0.0905,0.0082,0.0905,0.015
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 5},)}, 'dropout': 0.05, 'filters': 100, 'learning_rate': 0.012376093200571191, 'optimizer': 'Adam', 'use_batch_norm': False}",1.8435,1.9333,21,0.7474,0.6331,0.7474,0.6825
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 12}, {'filter2': 2}, {'filter3': 10})}, 'dropout': 0.5, 'filters': 200, 'learning_rate': 0.008441652510741521, 'optimizer': 'Adam', 'use_batch_norm': False}",2.0528,2.0539,21,0.4358,0.2887,0.4358,0.3283
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 12},)}, 'dropout': 0.4, 'filters': 150, 'learning_rate': 0.006679562425108779, 'optimizer': 'RMSprop', 'use_batch_norm': True}",2.45,2.458,0,0.0632,0.004,0.0632,0.0075
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 9}, {'filter2': 3}, {'filter3': 13})}, 'dropout': 0.45, 'filters': 200, 'learning_rate': 0.001549471172145447, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5882,1.7261,24,0.8611,0.8671,0.8611,0.8618
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 15},)}, 'dropout': 0.15, 'filters': 100, 'learning_rate': 0.0052443184657159575, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6084,1.7334,17,0.8253,0.8309,0.8253,0.8257
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 12}, {'filter2': 1})}, 'dropout': 0.2, 'filters': 200, 'learning_rate': 0.0011962008773776, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.6024,1.7166,17,0.8737,0.8812,0.8737,0.8739
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 5}, {'filter2': 15})}, 'dropout': 0.1, 'filters': 200, 'learning_rate': 0.0022420422561609124, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5714,1.7012,17,0.8737,0.8778,0.8737,0.8723
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 8}, {'filter2': 12})}, 'dropout': 0.1, 'filters': 200, 'learning_rate': 0.0019096355445887949, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5867,1.7062,13,0.8463,0.8521,0.8463,0.848
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 3}, {'filter2': 15})}, 'dropout': 0.1, 'filters': 200, 'learning_rate': 0.0016630039549257209, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5669,1.7093,24,0.8463,0.848,0.8463,0.8457
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 6}, {'filter2': 10})}, 'dropout': 0.1, 'filters': 200, 'learning_rate': 0.0021677581276658953, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5761,1.7124,17,0.8842,0.8869,0.8842,0.8838
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 9}, {'filter2': 13})}, 'dropout': 0.1, 'filters': 200, 'learning_rate': 0.0039393671137461445, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5736,1.7044,24,0.8295,0.847,0.8295,0.8337
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 2}, {'filter2': 7})}, 'dropout': 0.15, 'filters': 200, 'learning_rate': 0.003604275316614939, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5823,1.7071,23,0.8674,0.8725,0.8674,0.8683
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 12}, {'filter2': 13})}, 'dropout': 0.1, 'filters': 200, 'learning_rate': 0.001850718930707972, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5643,1.7113,20,0.8442,0.8499,0.8442,0.8439
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 15}, {'filter2': 10})}, 'dropout': 0.2, 'filters': 200, 'learning_rate': 0.002523554755236975, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5741,1.7178,19,0.8716,0.8712,0.8716,0.8706
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 5}, {'filter2': 6})}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.0010552278171132084, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5864,1.7051,24,0.8568,0.8582,0.8568,0.8559
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 10}, {'filter2': 4}, {'filter3': 8})}, 'dropout': 0.35, 'filters': 250, 'learning_rate': 0.0027430374586799133, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5959,1.7124,16,0.8653,0.8705,0.8653,0.8649
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 8},)}, 'dropout': 0.3, 'filters': 100, 'learning_rate': 0.00315833518452299, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6325,1.7434,23,0.8084,0.8347,0.8084,0.8112
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 8}, {'filter2': 14})}, 'dropout': 0, 'filters': 200, 'learning_rate': 0.001295199136034535, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5625,1.7119,24,0.8568,0.8615,0.8568,0.8572
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 7}, {'filter2': 6}, {'filter3': 6})}, 'dropout': 0.25, 'filters': 200, 'learning_rate': 0.002296268567332903, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5755,1.7152,24,0.8653,0.87,0.8653,0.8661
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 10},)}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.0014489732307716556, 'optimizer': 'Adam', 'use_batch_norm': True}",1.6691,1.7661,24,0.8505,0.8581,0.8505,0.8498
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 13}, {'filter2': 10})}, 'dropout': 0.5, 'filters': 200, 'learning_rate': 0.0017493996625145363, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6033,1.7288,21,0.8253,0.8409,0.8253,0.8278
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 11}, {'filter2': 15}, {'filter3': 4})}, 'dropout': 0.15, 'filters': 250, 'learning_rate': 0.002929856598679237, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4476,2.4446,0,0.1158,0.0134,0.1158,0.024
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 2},)}, 'dropout': 0.45, 'filters': 100, 'learning_rate': 0.004074771560963284, 'optimizer': 'Adam', 'use_batch_norm': False}",1.7433,1.7796,18,0.7874,0.8027,0.7874,0.7884
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 12}, {'filter3': 7})}, 'dropout': 0.4, 'filters': 200, 'learning_rate': 0.0045183704108008454, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6227,1.7304,24,0.8421,0.849,0.8421,0.8421
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 12},)}, 'dropout': 0.1, 'filters': 200, 'learning_rate': 0.003565621483156384, 'optimizer': 'Adam', 'use_batch_norm': True}",2.0069,2.0295,24,0.5789,0.4034,0.5789,0.4648
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 6}, {'filter2': 3})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.0022588609888861974, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5913,1.7143,24,0.8653,0.8686,0.8653,0.8656
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 12}, {'filter2': 9}, {'filter3': 9})}, 'dropout': 0.15, 'filters': 200, 'learning_rate': 0.0010928785062648896, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.5833,1.7034,19,0.8737,0.8843,0.8737,0.8767
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 7},)}, 'dropout': 0.3, 'filters': 200, 'learning_rate': 0.0014149169578134974, 'optimizer': 'Adam', 'use_batch_norm': False}",1.624,1.7207,22,0.8653,0.8709,0.8653,0.8655
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 2}, {'filter2': 14})}, 'dropout': 0.35, 'filters': 250, 'learning_rate': 0.0012263134214145648, 'optimizer': 'Adam', 'use_batch_norm': True}",1.933,1.9793,21,0.6189,0.4692,0.6189,0.5245
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 7}, {'filter2': 5}, {'filter3': 14})}, 'dropout': 0, 'filters': 100, 'learning_rate': 0.001992353114551004, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5633,1.7082,22,0.88,0.8858,0.88,0.8809
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 3},)}, 'dropout': 0.1, 'filters': 200, 'learning_rate': 0.0015800266419077292, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.6289,1.7234,24,0.8842,0.8914,0.8842,0.8842
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 14}, {'filter3': 6})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.002483780633164083, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5623,1.6936,24,0.8632,0.8691,0.8632,0.8641
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 13}, {'filter3': 6})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0024457761470913237, 'optimizer': 'Adam', 'use_batch_norm': True}",1.7331,1.8368,22,0.7768,0.7064,0.7768,0.7338
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 14}, {'filter3': 4})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.006122053451865137, 'optimizer': 'Adam', 'use_batch_norm': False}",1.8242,1.8795,22,0.7411,0.6047,0.7411,0.6617
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 11}, {'filter3': 7})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0033275400727292887, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5689,1.6987,19,0.8716,0.8831,0.8716,0.8733
