loss,params,iteration,accuracy,f1,precision,recall
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 11}, {'filter2': 3}, {'filter3': 3})}, 'dropout': 0, 'filters': 100, 'learning_rate': 0.0019063358904788102, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.5813,1.7199,23,0.8379,0.8467,0.8379,0.8397
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 15}, {'filter3': 10})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.0037794425015292192, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6757,1.7603,12,0.7789,0.7541,0.7789,0.7632
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 15},)}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.002587235864721344, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5787,1.714,14,0.8695,0.8709,0.8695,0.8683
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 1}, {'filter3': 2})}, 'dropout': 0.25, 'filters': 150, 'learning_rate': 0.005014034110070968, 'optimizer': 'Adam', 'use_batch_norm': True}",2.2844,2.2932,13,0.1811,0.045,0.1811,0.0708
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 11}, {'filter3': 7})}, 'dropout': 0.1, 'filters': 150, 'learning_rate': 0.0021949695933520196, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5684,1.7019,23,0.8779,0.8845,0.8779,0.8782
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 15}, {'filter2': 12}, {'filter3': 11})}, 'dropout': 0.5, 'filters': 200, 'learning_rate': 0.009015084909641164, 'optimizer': 'Adam', 'use_batch_norm': False}",2.2229,2.2209,19,0.4379,0.2487,0.4379,0.3128
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 14}, {'filter2': 11})}, 'dropout': 0.05, 'filters': 250, 'learning_rate': 0.0039980237323070725, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4503,2.4476,0,0.1705,0.0291,0.1705,0.0497
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 15}, {'filter3': 15})}, 'dropout': 0.15, 'filters': 150, 'learning_rate': 0.006341598536433843, 'optimizer': 'Adam', 'use_batch_norm': False}",1.7706,1.8447,21,0.7558,0.6794,0.7558,0.7096
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 6}, {'filter3': 6})}, 'dropout': 0.4, 'filters': 100, 'learning_rate': 0.0013943477599143307, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6339,1.7318,23,0.8653,0.871,0.8653,0.8665
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 5},)}, 'dropout': 0.45, 'filters': 150, 'learning_rate': 0.002696315153299687, 'optimizer': 'Adam', 'use_batch_norm': True}",1.7759,1.8275,23,0.7158,0.6928,0.7158,0.6959
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 14}, {'filter3': 5})}, 'dropout': 0.2, 'filters': 200, 'learning_rate': 0.005658974032375266, 'optimizer': 'Adam', 'use_batch_norm': False}",1.8495,1.9117,23,0.5979,0.4601,0.5979,0.5076
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 14}, {'filter2': 11}, {'filter3': 9})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.003547351719964701, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5823,1.7076,14,0.8505,0.8638,0.8505,0.8535
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 11}, {'filter2': 2})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.010641147717458742, 'optimizer': 'Adam', 'use_batch_norm': False}",1.8344,1.8851,19,0.7305,0.6261,0.7305,0.6645
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 7}, {'filter2': 13}, {'filter3': 14})}, 'dropout': 0.35, 'filters': 200, 'learning_rate': 0.0031714194244498975, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4546,2.4513,0,0.0989,0.0098,0.0989,0.0178
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 10}, {'filter3': 7})}, 'dropout': 0.3, 'filters': 150, 'learning_rate': 0.0024408962404928523, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5796,1.7172,23,0.8526,0.8718,0.8526,0.8588
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 11}, {'filter2': 4}, {'filter3': 4})}, 'dropout': 0, 'filters': 250, 'learning_rate': 0.0043576349716962625, 'optimizer': 'Adam', 'use_batch_norm': False}",1.7508,1.84,18,0.7684,0.7249,0.7684,0.738
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 11},)}, 'dropout': 0.2, 'filters': 100, 'learning_rate': 0.0020692435295414304, 'optimizer': 'Adam', 'use_batch_norm': True}",1.6775,1.7626,23,0.8084,0.8166,0.8084,0.8091
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 13}, {'filter3': 5})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.002894587939204219, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6295,1.7352,23,0.8337,0.843,0.8337,0.8287
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 10}, {'filter2': 15}, {'filter3': 8})}, 'dropout': 0.25, 'filters': 200, 'learning_rate': 0.0016373958468890277, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5677,1.7162,23,0.8758,0.8809,0.8758,0.8766
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 4}, {'filter2': 7})}, 'dropout': 0.1, 'filters': 150, 'learning_rate': 0.012120880447387001, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.452,2.4482,0,0.0779,0.0061,0.0779,0.0113
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 12}, {'filter2': 12}, {'filter3': 12})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.004668100080886245, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5828,1.7118,24,0.8232,0.8476,0.8232,0.83
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 9}, {'filter2': 8}, {'filter3': 6})}, 'dropout': 0.5, 'filters': 200, 'learning_rate': 0.002274149451066267, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6003,1.724,21,0.8232,0.8386,0.8232,0.8259
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 14}, {'filter3': 9})}, 'dropout': 0.4, 'filters': 150, 'learning_rate': 0.003301115172229614, 'optimizer': 'Adam', 'use_batch_norm': True}",2.0868,2.1119,17,0.4989,0.2888,0.4989,0.3584
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 9},)}, 'dropout': 0.45, 'filters': 250, 'learning_rate': 0.0018660215199844158, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6219,1.7313,21,0.8232,0.8352,0.8232,0.8248
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 8}, {'filter2': 1}, {'filter3': 4})}, 'dropout': 0.15, 'filters': 100, 'learning_rate': 0.0012706532931614813, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6052,1.7122,24,0.8653,0.8723,0.8653,0.867
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 2}, {'filter3': 5})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.0038140944982271857, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.451,2.4442,9,0.1389,0.0193,0.1389,0.0339
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 13}, {'filter2': 9})}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.0015657596519881882, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5785,1.7085,15,0.8463,0.8503,0.8463,0.846
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 9}, {'filter3': 3})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0014502994910970523, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5824,1.7164,19,0.8632,0.8679,0.8632,0.8634
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 6}, {'filter3': 2})}, 'dropout': 0.3, 'filters': 150, 'learning_rate': 0.0017995004834558844, 'optimizer': 'Adam', 'use_batch_norm': True}",2.0196,2.0302,15,0.6316,0.4561,0.6316,0.5236
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 13}, {'filter2': 14}, {'filter3': 13})}, 'dropout': 0.35, 'filters': 200, 'learning_rate': 0.0011484170650330903, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5733,1.7149,23,0.8463,0.8581,0.8463,0.8471
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 13}, {'filter3': 7})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.0010432954958483967, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5869,1.7293,21,0.8737,0.8832,0.8737,0.8755
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 3},)}, 'dropout': 0, 'filters': 250, 'learning_rate': 0.00582598200376159, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.451,2.4451,16,0.2084,0.0434,0.2084,0.0719
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 10}, {'filter3': 8})}, 'dropout': 0.05, 'filters': 100, 'learning_rate': 0.019938588595296368, 'optimizer': 'Adam', 'use_batch_norm': False}",2.3647,2.3752,7,0.2295,0.0636,0.2295,0.0966
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 9}, {'filter2': 6})}, 'dropout': 0.25, 'filters': 150, 'learning_rate': 0.0024766258317839244, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5939,1.7168,18,0.8526,0.8676,0.8526,0.8543
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 7}, {'filter2': 15}, {'filter3': 6})}, 'dropout': 0.1, 'filters': 200, 'learning_rate': 0.007078130136240702, 'optimizer': 'Adam', 'use_batch_norm': True}",2.3551,2.3789,23,0.1053,0.0121,0.1053,0.0215
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 5}, {'filter3': 10})}, 'dropout': 0.5, 'filters': 150, 'learning_rate': 0.002701459479747136, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6135,1.7364,22,0.8442,0.8501,0.8442,0.8454
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 7}, {'filter3': 5})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0051675425509486615, 'optimizer': 'Adam', 'use_batch_norm': False}",1.8279,1.899,20,0.6905,0.5471,0.6905,0.6064
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 9}, {'filter2': 12}, {'filter3': 3})}, 'dropout': 0.4, 'filters': 200, 'learning_rate': 0.001985363759058324, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.5984,1.7169,23,0.8295,0.8515,0.8295,0.8293
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 14},)}, 'dropout': 0.15, 'filters': 150, 'learning_rate': 0.002966578832631317, 'optimizer': 'Adam', 'use_batch_norm': False}",1.59,1.7259,17,0.8253,0.832,0.8253,0.8256
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 15}, {'filter2': 11}, {'filter3': 6})}, 'dropout': 0.45, 'filters': 100, 'learning_rate': 0.003614958485439727, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6115,1.7393,22,0.8442,0.8491,0.8442,0.8451
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 2}, {'filter2': 2})}, 'dropout': 0.2, 'filters': 250, 'learning_rate': 0.002180046555857224, 'optimizer': 'Adam', 'use_batch_norm': True}",2.0905,2.1054,24,0.5074,0.3152,0.5074,0.3797
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 12}, {'filter2': 13}, {'filter3': 7})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.004273599891301111, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5788,1.7153,21,0.8568,0.8571,0.8568,0.8555
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 10}, {'filter2': 14}, {'filter3': 4})}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.0016800492910560903, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5668,1.7168,19,0.8926,0.893,0.8926,0.8919
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 11}, {'filter3': 1})}, 'dropout': 0.3, 'filters': 150, 'learning_rate': 0.007744889387608388, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4534,2.4472,8,0.0484,0.0023,0.0484,0.0045
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 8}, {'filter2': 12}, {'filter3': 13})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.003170566379047829, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5734,1.7008,21,0.8168,0.8326,0.8168,0.8201
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 7},)}, 'dropout': 0.35, 'filters': 200, 'learning_rate': 0.0033592944797561333, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6226,1.7324,17,0.8463,0.855,0.8463,0.8481
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 10}, {'filter3': 14})}, 'dropout': 0, 'filters': 150, 'learning_rate': 0.00256831748444047, 'optimizer': 'Adam', 'use_batch_norm': True}",2.0763,2.0908,7,0.6126,0.4141,0.6126,0.4872
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 11}, {'filter2': 4})}, 'dropout': 0.05, 'filters': 250, 'learning_rate': 0.0046863609840168095, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5943,1.7109,16,0.8695,0.8774,0.8695,0.8709
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 3}, {'filter3': 9})}, 'dropout': 0.25, 'filters': 100, 'learning_rate': 0.0062453446225765085, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6135,1.7127,24,0.8042,0.8124,0.8042,0.8069
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 7}, {'filter2': 9}, {'filter3': 15})}, 'dropout': 0.1, 'filters': 150, 'learning_rate': 0.0023703664506752238, 'optimizer': 'RMSprop', 'use_batch_norm': False}",2.4513,2.4469,21,0.1242,0.0154,0.1242,0.0274
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 11}, {'filter2': 8}, {'filter3': 5})}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.002060726986431806, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5681,1.6986,17,0.8463,0.8635,0.8463,0.8503
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 14}, {'filter3': 8})}, 'dropout': 0.5, 'filters': 150, 'learning_rate': 0.003942269525144997, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6246,1.7357,21,0.8295,0.8329,0.8295,0.83
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 5},)}, 'dropout': 0.4, 'filters': 150, 'learning_rate': 0.002804787224125466, 'optimizer': 'Adam', 'use_batch_norm': True}",1.8216,1.8606,23,0.7684,0.7337,0.7684,0.7465
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 15}, {'filter3': 7})}, 'dropout': 0.15, 'filters': 200, 'learning_rate': 0.0017745919823752747, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5714,1.7129,19,0.8737,0.8755,0.8737,0.8741
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 7}, {'filter2': 12})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.003470722601422521, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5787,1.7168,13,0.8337,0.8474,0.8337,0.8367
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 14}, {'filter2': 13}, {'filter3': 11})}, 'dropout': 0.45, 'filters': 250, 'learning_rate': 0.0013572846688613919, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.7798,1.8067,24,0.7705,0.7986,0.7705,0.7636
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 4}, {'filter3': 5})}, 'dropout': 0.2, 'filters': 100, 'learning_rate': 0.0030436447876985018, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6063,1.7046,20,0.8611,0.8634,0.8611,0.8606
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 13}, {'filter2': 12}, {'filter3': 4})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.001918566651591829, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5629,1.7077,24,0.8737,0.8756,0.8737,0.8729
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 7}, {'filter3': 3})}, 'dropout': 0.35, 'filters': 200, 'learning_rate': 0.004979299764988248, 'optimizer': 'Adam', 'use_batch_norm': True}",2.4504,2.4463,1,0.0253,0.0006,0.0253,0.0012
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 11},)}, 'dropout': 0.3, 'filters': 150, 'learning_rate': 0.00546316372036412, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6179,1.7395,22,0.8189,0.8431,0.8189,0.8248
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 9}, {'filter2': 13}, {'filter3': 7})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0015089664940374887, 'optimizer': 'Adam', 'use_batch_norm': False}",1.569,1.7077,21,0.8716,0.8758,0.8716,0.8705
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 4}, {'filter2': 11})}, 'dropout': 0.2, 'filters': 200, 'learning_rate': 0.002198531789916663, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.782,1.8603,24,0.6653,0.574,0.6653,0.6048
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 15}, {'filter3': 6})}, 'dropout': 0, 'filters': 150, 'learning_rate': 0.0012021487486861004, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5654,1.7081,23,0.8758,0.8778,0.8758,0.8748
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 8}, {'filter2': 11}, {'filter3': 9})}, 'dropout': 0.25, 'filters': 250, 'learning_rate': 0.01633425888878401, 'optimizer': 'Adam', 'use_batch_norm': False}",2.4473,2.4551,0,0.0926,0.0086,0.0926,0.0157
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 14}, {'filter3': 14})}, 'dropout': 0.1, 'filters': 150, 'learning_rate': 0.0026634130661256587, 'optimizer': 'Adam', 'use_batch_norm': True}",2.0754,2.1202,15,0.4589,0.2737,0.4589,0.3298
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 7}, {'filter2': 8}, {'filter3': 2})}, 'dropout': 0.05, 'filters': 100, 'learning_rate': 0.004102727173821785, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5736,1.7202,22,0.8674,0.8723,0.8674,0.8677
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 13},)}, 'dropout': 0.5, 'filters': 200, 'learning_rate': 0.002370684062724889, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6289,1.7534,21,0.7979,0.8052,0.7979,0.7975
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 10}, {'filter2': 10}, {'filter3': 10})}, 'dropout': 0.4, 'filters': 150, 'learning_rate': 0.001639440648579544, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.5906,1.7345,23,0.8632,0.8639,0.8632,0.8609
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 14}, {'filter2': 6})}, 'dropout': 0.45, 'filters': 150, 'learning_rate': 0.009337414754050274, 'optimizer': 'Adam', 'use_batch_norm': False}",1.759,1.8327,19,0.7726,0.7698,0.7726,0.7617
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 12}, {'filter2': 12}, {'filter3': 8})}, 'dropout': 0.15, 'filters': 200, 'learning_rate': 0.004398623760878812, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5812,1.6955,15,0.84,0.8485,0.84,0.8416
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 15}, {'filter3': 6})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0010046634068591404, 'optimizer': 'Adam', 'use_batch_norm': True}",1.6676,1.7653,24,0.8211,0.7657,0.8211,0.7896
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 6}, {'filter2': 13}, {'filter3': 12})}, 'dropout': 0.2, 'filters': 250, 'learning_rate': 0.00367669715317531, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6337,1.7747,23,0.8232,0.8666,0.8232,0.8311
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 9}, {'filter3': 4})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.001310889803230354, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5728,1.7047,24,0.8695,0.8731,0.8695,0.87
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 14}, {'filter3': 5})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.003769776434275792, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5775,1.7099,15,0.8589,0.8622,0.8589,0.8582
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 5}, {'filter2': 14}, {'filter3': 5})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0032520623381634773, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5737,1.7022,15,0.8611,0.8658,0.8611,0.8614
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 15}, {'filter3': 4})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0028168159497285795, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5646,1.6833,22,0.8484,0.8587,0.8484,0.8417
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 15}, {'filter3': 4})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0028008457375369613, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5772,1.6943,16,0.8589,0.8607,0.8589,0.8582
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 15}, {'filter3': 3})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0025020853209099785, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6514,1.7754,19,0.8442,0.8042,0.8442,0.8205
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 15}, {'filter3': 6})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0020651607937298313, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5636,1.7113,24,0.8653,0.8685,0.8653,0.8651
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 13}, {'filter3': 3})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.003140690875438715, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5754,1.7031,17,0.8611,0.8622,0.8611,0.8586
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 14}, {'filter3': 5})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0028463649224789284, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5666,1.6929,21,0.8589,0.8638,0.8589,0.8604
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 14}, {'filter3': 4})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.002200814110937618, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5727,1.7044,17,0.8463,0.8558,0.8463,0.8471
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 12}, {'filter3': 5})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0019226037723726473, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5698,1.6935,21,0.8589,0.8613,0.8589,0.8577
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 11}, {'filter3': 1})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0017773383483831436, 'optimizer': 'Adam', 'use_batch_norm': False}",1.57,1.7212,24,0.8568,0.8605,0.8568,0.857
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 12}, {'filter3': 4})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.0015907612258533258, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5828,1.6922,18,0.8674,0.8705,0.8674,0.8675
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 13}, {'filter3': 3})}, 'dropout': 0.35, 'filters': 150, 'learning_rate': 0.001555994450925684, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6089,1.727,19,0.8421,0.8495,0.8421,0.8428
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 12}, {'filter3': 2})}, 'dropout': 0.3, 'filters': 150, 'learning_rate': 0.0010782653492367714, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6088,1.7253,22,0.8505,0.8597,0.8505,0.8528
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 10}, {'filter3': 2})}, 'dropout': 0.2, 'filters': 150, 'learning_rate': 0.0014810761183560552, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5921,1.7132,23,0.8737,0.8773,0.8737,0.8745
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 11}, {'filter3': 4})}, 'dropout': 0, 'filters': 150, 'learning_rate': 0.0022863116530768865, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5659,1.6941,22,0.8379,0.8487,0.8379,0.8407
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 13}, {'filter3': 4})}, 'dropout': 0.05, 'filters': 150, 'learning_rate': 0.001416086903720528, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5877,1.7172,16,0.8547,0.8576,0.8547,0.8528
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 12}, {'filter3': 3})}, 'dropout': 0.1, 'filters': 150, 'learning_rate': 0.0019929056908212345, 'optimizer': 'Adam', 'use_batch_norm': False}",1.579,1.7153,19,0.8737,0.8785,0.8737,0.8733
