params,iteration,train_loss,val_accuracy,val_loss,val_f1,val_precision,val_recall
"{'dropout_prop': 0.20314329910699475, 'hidden_size': 128, 'learning_rate': 0.003139093731303009, 'sent_length': 15, 'use_class_weights': False}",9,1.6826,0.856,1.6866,0.8001,0.8559,0.823
"{'dropout_prop': 0.038143254264740606, 'hidden_size': 128, 'learning_rate': 0.0015703532868344013, 'sent_length': 15, 'use_class_weights': True}",7,1.6207,0.941,1.6106,0.9436,0.9412,0.9409
"{'dropout_prop': 0.22768860391929896, 'hidden_size': 64, 'learning_rate': 0.0022653528090863647, 'sent_length': 8, 'use_class_weights': True}",9,1.6136,0.95,1.6055,0.9514,0.9501,0.9503
"{'dropout_prop': 0.16080096904980754, 'hidden_size': 32, 'learning_rate': 0.005964211134489847, 'sent_length': 15, 'use_class_weights': False}",9,1.6774,0.856,1.6879,0.7999,0.8559,0.8242
"{'dropout_prop': 0.10460268673064743, 'hidden_size': 128, 'learning_rate': 0.010265018474287547, 'sent_length': 12, 'use_class_weights': True}",8,1.6232,0.925,1.6214,0.9312,0.9246,0.9259
"{'dropout_prop': 0.0006402923804932348, 'hidden_size': 128, 'learning_rate': 0.001148420452740337, 'sent_length': 10, 'use_class_weights': True}",7,1.6154,0.943,1.6069,0.9443,0.9435,0.9433
"{'dropout_prop': 0.07678594786627181, 'hidden_size': 64, 'learning_rate': 0.004919479908597592, 'sent_length': 15, 'use_class_weights': True}",9,1.6025,0.936,1.6134,0.9381,0.9357,0.9354
"{'dropout_prop': 0.18168698554199225, 'hidden_size': 128, 'learning_rate': 0.003576838787158414, 'sent_length': 8, 'use_class_weights': False}",9,1.6992,0.865,1.6798,0.8105,0.8647,0.8337
"{'dropout_prop': 0.13930744937457767, 'hidden_size': 32, 'learning_rate': 0.013987862917723259, 'sent_length': 15, 'use_class_weights': True}",7,1.6231,0.93,1.6197,0.9347,0.9302,0.9307
"{'dropout_prop': 0.275285280020648, 'hidden_size': 128, 'learning_rate': 0.002732451886127183, 'sent_length': 15, 'use_class_weights': True}",5,1.6314,0.916,1.6272,0.923,0.9157,0.9169
"{'dropout_prop': 0.10848471927270831, 'hidden_size': 128, 'learning_rate': 0.028483367311926078, 'sent_length': 15, 'use_class_weights': False}",6,2.3477,0.21,2.3335,0.0439,0.2095,0.0726
"{'dropout_prop': 0.36826220434697265, 'hidden_size': 64, 'learning_rate': 0.016807258977526475, 'sent_length': 12, 'use_class_weights': True}",7,1.7005,0.881,1.682,0.899,0.8814,0.8853
"{'dropout_prop': 0.4569773361182276, 'hidden_size': 128, 'learning_rate': 0.0019806402959560163, 'sent_length': 10, 'use_class_weights': True}",8,1.6282,0.94,1.6054,0.9463,0.9401,0.9413
"{'dropout_prop': 0.04992738040925, 'hidden_size': 32, 'learning_rate': 0.008151889513531914, 'sent_length': 15, 'use_class_weights': True}",9,1.5926,0.956,1.5907,0.958,0.9557,0.9555
"{'dropout_prop': 0.025809399607889572, 'hidden_size': 128, 'learning_rate': 0.009564467892026298, 'sent_length': 15, 'use_class_weights': True}",6,1.7196,0.812,1.708,0.7322,0.8115,0.7666
"{'dropout_prop': 0.12551612386864106, 'hidden_size': 128, 'learning_rate': 0.005871983431330366, 'sent_length': 8, 'use_class_weights': False}",9,1.6622,0.884,1.6596,0.8464,0.8836,0.8534
"{'dropout_prop': 0.07208380724794027, 'hidden_size': 64, 'learning_rate': 0.003915097857236513, 'sent_length': 15, 'use_class_weights': True}",7,1.6063,0.951,1.595,0.9526,0.9512,0.9514
"{'dropout_prop': 0.11301641652389638, 'hidden_size': 64, 'learning_rate': 0.004378335581329832, 'sent_length': 15, 'use_class_weights': True}",9,1.5992,0.947,1.6072,0.9507,0.9468,0.9477
"{'dropout_prop': 0.08677079038698124, 'hidden_size': 64, 'learning_rate': 0.0032164609574180936, 'sent_length': 15, 'use_class_weights': True}",8,1.5995,0.952,1.6026,0.9543,0.9523,0.9526
"{'dropout_prop': 0.2158190654903885, 'hidden_size': 64, 'learning_rate': 0.002787160032291972, 'sent_length': 15, 'use_class_weights': True}",8,1.616,0.939,1.6068,0.9433,0.939,0.9401
"{'dropout_prop': 0.26300096497984227, 'hidden_size': 64, 'learning_rate': 0.005308177948196171, 'sent_length': 15, 'use_class_weights': True}",9,1.6005,0.951,1.594,0.9525,0.9512,0.9513
"{'dropout_prop': 0.15900198459313666, 'hidden_size': 64, 'learning_rate': 0.007482113532303534, 'sent_length': 15, 'use_class_weights': True}",8,1.6039,0.947,1.6034,0.9495,0.9468,0.947
"{'dropout_prop': 0.014317449710250535, 'hidden_size': 64, 'learning_rate': 0.0034867284264161525, 'sent_length': 15, 'use_class_weights': True}",9,1.5984,0.947,1.6075,0.9492,0.9468,0.9471
"{'dropout_prop': 0.1893052564654035, 'hidden_size': 64, 'learning_rate': 0.004158176505491581, 'sent_length': 15, 'use_class_weights': True}",9,1.6085,0.945,1.6057,0.9478,0.9446,0.9449
"{'dropout_prop': 0.14249184184781125, 'hidden_size': 64, 'learning_rate': 0.006468218883171213, 'sent_length': 15, 'use_class_weights': True}",8,1.5993,0.962,1.5876,0.9635,0.9623,0.9623
"{'dropout_prop': 0.29340629236200855, 'hidden_size': 64, 'learning_rate': 0.006335564969958293, 'sent_length': 15, 'use_class_weights': True}",8,1.6096,0.953,1.5934,0.9549,0.9534,0.9535
"{'dropout_prop': 0.17632890433497936, 'hidden_size': 128, 'learning_rate': 0.011483342364495433, 'sent_length': 12, 'use_class_weights': True}",4,1.6418,0.929,1.625,0.9303,0.929,0.9288
"{'dropout_prop': 0.146348322903628, 'hidden_size': 128, 'learning_rate': 0.007379539876655375, 'sent_length': 10, 'use_class_weights': True}",7,1.618,0.933,1.6102,0.9379,0.9335,0.9342
"{'dropout_prop': 0.09574070813447869, 'hidden_size': 64, 'learning_rate': 0.00896949842158879, 'sent_length': 15, 'use_class_weights': True}",9,1.5977,0.945,1.6014,0.9506,0.9446,0.9454
"{'dropout_prop': 0.03711384690529222, 'hidden_size': 32, 'learning_rate': 0.013208134068008482, 'sent_length': 15, 'use_class_weights': True}",9,1.597,0.956,1.5943,0.9569,0.9557,0.956
"{'dropout_prop': 0.23563807153671468, 'hidden_size': 128, 'learning_rate': 0.016364488323793853, 'sent_length': 8, 'use_class_weights': True}",9,1.9624,0.653,1.937,0.5486,0.653,0.5834
"{'dropout_prop': 0.06217211611353206, 'hidden_size': 128, 'learning_rate': 0.005021720099378773, 'sent_length': 15, 'use_class_weights': True}",8,1.5943,0.951,1.6018,0.9524,0.9512,0.9515
"{'dropout_prop': 0.2548437322302472, 'hidden_size': 64, 'learning_rate': 0.002335573529479753, 'sent_length': 12, 'use_class_weights': False}",8,1.718,0.837,1.7091,0.7557,0.837,0.7918
"{'dropout_prop': 0.204019374201858, 'hidden_size': 128, 'learning_rate': 0.0017201632045839661, 'sent_length': 15, 'use_class_weights': True}",6,1.6257,0.932,1.62,0.9353,0.9324,0.9329
