"","params","iteration","train_loss","val_accuracy","val_loss","val_f1","val_precision","val_recall"
"78","{'dropout': 0.00030648383769726114, 'hidden_units': 512, 'learning_rate': 0.0014059957121902499, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5642,0.8724,1.6933,0.873,0.8743,0.8724
"79","{'dropout': 0.13797730739456182, 'hidden_units': 128, 'learning_rate': 0.0027120328109302653, 'optimizer': 'Adam', 'use_batch_norm': False}",23,1.6325,0.8586,1.6952,0.8596,0.8648,0.8586
"80","{'dropout': 0.11672896731101629, 'hidden_units': 512, 'learning_rate': 0.0010924440522753465, 'optimizer': 'RMSprop', 'use_batch_norm': True}",14,1.5777,0.8647,1.6945,0.8655,0.8692,0.8647
"81","{'dropout': 0.19499065168739438, 'hidden_units': 512, 'learning_rate': 0.00485159451906245, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5903,0.8486,1.7031,0.8506,0.8618,0.8486
"82","{'dropout': 0.22622558772588713, 'hidden_units': 256, 'learning_rate': 0.0034358585974616188, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5921,0.8536,1.7057,0.8539,0.8596,0.8536
"83","{'dropout': 0.06530348690584441, 'hidden_units': 64, 'learning_rate': 0.002264565212898176, 'optimizer': 'Adam', 'use_batch_norm': False}",23,1.6191,0.8591,1.7024,0.8596,0.8629,0.8591
"84","{'dropout': 0.04910101274409048, 'hidden_units': 512, 'learning_rate': 0.0011583652208067773, 'optimizer': 'RMSprop', 'use_batch_norm': True}",23,1.568,0.8652,1.6967,0.8675,0.8747,0.8652
"85","{'dropout': 0.07925915511894116, 'hidden_units': 128, 'learning_rate': 0.0012831225887111654, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.5884,0.873,1.7017,0.8729,0.8748,0.873
"86","{'dropout': 0.011179455902271526, 'hidden_units': 512, 'learning_rate': 0.006233449341560844, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5839,0.8658,1.6987,0.866,0.87,0.8658
"87","{'dropout': 0.4261114689298915, 'hidden_units': 256, 'learning_rate': 0.007334174836914426, 'optimizer': 'RMSprop', 'use_batch_norm': True}",17,1.6167,0.8447,1.7097,0.8433,0.849,0.8447
"88","{'dropout': 0.2419946482821856, 'hidden_units': 512, 'learning_rate': 0.0010544150052269712, 'optimizer': 'Adam', 'use_batch_norm': False}",22,1.6215,0.8575,1.6923,0.8597,0.866,0.8575
"89","{'dropout': 0.10114987533979389, 'hidden_units': 512, 'learning_rate': 0.0020078278499877, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5704,0.8719,1.6919,0.8739,0.8788,0.8719
"90","{'dropout': 0.026610215026310696, 'hidden_units': 64, 'learning_rate': 0.012279366733912176, 'optimizer': 'RMSprop', 'use_batch_norm': True}",8,1.6122,0.8519,1.7088,0.8521,0.8557,0.8519
"91","{'dropout': 0.14703020028223995, 'hidden_units': 512, 'learning_rate': 0.0017091935529445056, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.5741,0.8752,1.697,0.8742,0.8755,0.8752
"92","{'dropout': 0.08586469857621448, 'hidden_units': 128, 'learning_rate': 0.00146824864097344, 'optimizer': 'Adam', 'use_batch_norm': False}",22,1.6131,0.8625,1.6948,0.8637,0.8689,0.8625
"93","{'dropout': 0.21309494976074458, 'hidden_units': 512, 'learning_rate': 0.002381456602138537, 'optimizer': 'RMSprop', 'use_batch_norm': True}",14,1.5852,0.8547,1.7046,0.8556,0.8647,0.8547
"94","{'dropout': 0.16385675189337584, 'hidden_units': 256, 'learning_rate': 0.006696058315934163, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5826,0.8647,1.7026,0.8639,0.8681,0.8647
"95","{'dropout': 0.2854730593369669, 'hidden_units': 512, 'learning_rate': 0.001591481568638368, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5793,0.8752,1.6904,0.8759,0.8787,0.8752
"96","{'dropout': 0.03731118829524842, 'hidden_units': 64, 'learning_rate': 0.0029833052812150607, 'optimizer': 'RMSprop', 'use_batch_norm': True}",24,1.5832,0.8358,1.7177,0.8379,0.8532,0.8358
"97","{'dropout': 0.3341854978741533, 'hidden_units': 512, 'learning_rate': 0.0025305967469516225, 'optimizer': 'Adam', 'use_batch_norm': False}",24,1.7877,0.7887,1.8209,0.7792,0.776,0.7887
"98","{'dropout': 0.056270952188467616, 'hidden_units': 128, 'learning_rate': 0.001856913443266892, 'optimizer': 'RMSprop', 'use_batch_norm': True}",17,1.5845,0.8586,1.7013,0.8587,0.8631,0.8586
"99","{'dropout': 0.1251362715459965, 'hidden_units': 512, 'learning_rate': 0.00866608572367827, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5922,0.8369,1.7073,0.8387,0.8574,0.8369
"100","{'dropout': 0.3667895805748998, 'hidden_units': 512, 'learning_rate': 0.002150970277743122, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5756,0.8569,1.7037,0.8573,0.8622,0.8569
"101","{'dropout': 0.48029950326898696, 'hidden_units': 256, 'learning_rate': 0.001209599403322022, 'optimizer': 'RMSprop', 'use_batch_norm': True}",9,1.6297,0.8575,1.7154,0.858,0.8622,0.8575
"102","{'dropout': 0.013210935480037211, 'hidden_units': 512, 'learning_rate': 0.004291862379152243, 'optimizer': 'Adam', 'use_batch_norm': False}",0,2.4534,0.0477,2.4479,0.0043,0.0023,0.0477
"103","{'dropout': 0.2570940627688121, 'hidden_units': 512, 'learning_rate': 0.0032342908682677736, 'optimizer': 'RMSprop', 'use_batch_norm': True}",15,1.587,0.848,1.7007,0.8495,0.8571,0.848
"104","{'dropout': 0.06976354218413454, 'hidden_units': 64, 'learning_rate': 0.0013629427956075568, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5916,0.8602,1.7121,0.86,0.8669,0.8602
"105","{'dropout': 0.31348409096327107, 'hidden_units': 512, 'learning_rate': 0.005787006369824629, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5883,0.8519,1.7001,0.8536,0.8642,0.8519
"106","{'dropout': 0.1886675198423039, 'hidden_units': 128, 'learning_rate': 0.003989060610053693, 'optimizer': 'RMSprop', 'use_batch_norm': True}",19,1.5884,0.8247,1.7127,0.8266,0.8406,0.8247
"107","{'dropout': 0.11582125048143369, 'hidden_units': 512, 'learning_rate': 0.0017326746319787545, 'optimizer': 'Adam', 'use_batch_norm': False}",24,1.6704,0.8369,1.729,0.8375,0.853,0.8369
"108","{'dropout': 0.044688922250509626, 'hidden_units': 256, 'learning_rate': 0.0011569626632535774, 'optimizer': 'RMSprop', 'use_batch_norm': True}",18,1.5739,0.8686,1.7036,0.8678,0.8723,0.8686
"109","{'dropout': 0.09772105856457423, 'hidden_units': 512, 'learning_rate': 0.0010840870421304843, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.5721,0.8713,1.6986,0.8716,0.8765,0.8713
"110","{'dropout': 0.029930884446405105, 'hidden_units': 512, 'learning_rate': 0.0010053746286540156, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5668,0.8708,1.6951,0.8713,0.8737,0.8708
