"","params","iteration","train_loss","val_accuracy","val_loss","val_f1","val_precision","val_recall"
"260","{'dropout': 0.11256559093731806, 'hidden_units': 512, 'learning_rate': 0.0036101623781959282, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.5807,0.8575,1.7025,0.8579,0.8628,0.8575
"261","{'dropout': 0.08337172577612607, 'hidden_units': 512, 'learning_rate': 0.0031502216986113206, 'optimizer': 'Adam', 'use_batch_norm': True}",12,1.584,0.8625,1.6977,0.8623,0.8694,0.8625
"262","{'dropout': 0.1537641679419521, 'hidden_units': 512, 'learning_rate': 0.0020731905597830102, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.5764,0.8641,1.6997,0.8639,0.8661,0.8641
"263","{'dropout': 0.10327229269882182, 'hidden_units': 512, 'learning_rate': 0.00270641863439732, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5735,0.8602,1.6985,0.863,0.8738,0.8602
"264","{'dropout': 0.146394712755545, 'hidden_units': 512, 'learning_rate': 0.0023524150449887728, 'optimizer': 'Adam', 'use_batch_norm': True}",18,1.5732,0.858,1.7049,0.8604,0.8717,0.858
"265","{'dropout': 0.1698753703643382, 'hidden_units': 512, 'learning_rate': 0.0017879690757931133, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5704,0.8686,1.6911,0.8694,0.8733,0.8686
"266","{'dropout': 0.06065700810990604, 'hidden_units': 512, 'learning_rate': 0.0015224409395552796, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5674,0.873,1.6937,0.8741,0.878,0.873
"267","{'dropout': 0.07910000548595036, 'hidden_units': 512, 'learning_rate': 0.0014259404740868708, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5679,0.8652,1.7024,0.8648,0.8685,0.8652
"268","{'dropout': 0.12552466747445523, 'hidden_units': 512, 'learning_rate': 0.004084577418909674, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5798,0.8608,1.6969,0.8612,0.8656,0.8608
"269","{'dropout': 0.18017002865577833, 'hidden_units': 512, 'learning_rate': 0.0016734670454715802, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5692,0.8619,1.7063,0.8647,0.8753,0.8619
"270","{'dropout': 0.09141449108296777, 'hidden_units': 512, 'learning_rate': 0.001000396388386232, 'optimizer': 'Adam', 'use_batch_norm': True}",13,1.5771,0.8658,1.695,0.8663,0.8693,0.8658
"271","{'dropout': 0.16465726244645074, 'hidden_units': 512, 'learning_rate': 0.0012265393218931406, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.5747,0.8686,1.7029,0.8688,0.8748,0.8686
"272","{'dropout': 0.1101021563907119, 'hidden_units': 512, 'learning_rate': 0.0045944404521748305, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5785,0.8586,1.6939,0.8604,0.8661,0.8586
"273","{'dropout': 0.00041224438395738236, 'hidden_units': 512, 'learning_rate': 0.001295737102185367, 'optimizer': 'Adam', 'use_batch_norm': True}",10,1.5843,0.8686,1.6926,0.8693,0.8742,0.8686
"274","{'dropout': 0.06681369108931562, 'hidden_units': 512, 'learning_rate': 0.0010727720873614762, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5659,0.8752,1.6949,0.875,0.877,0.8752
"275","{'dropout': 0.03653170983807742, 'hidden_units': 512, 'learning_rate': 0.003320327677646552, 'optimizer': 'Adam', 'use_batch_norm': True}",10,1.5885,0.8686,1.6973,0.8689,0.8715,0.8686
"276","{'dropout': 0.13266058971167802, 'hidden_units': 512, 'learning_rate': 0.0025161528056873695, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5719,0.8669,1.6971,0.8674,0.8708,0.8669
"277","{'dropout': 0.01849075674532817, 'hidden_units': 128, 'learning_rate': 0.0019571673101005573, 'optimizer': 'Adam', 'use_batch_norm': True}",15,1.5807,0.8669,1.6995,0.8671,0.871,0.8669
"278","{'dropout': 0.22551411960822984, 'hidden_units': 512, 'learning_rate': 0.001509162802455639, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5727,0.858,1.7034,0.8608,0.8707,0.858
"279","{'dropout': 0.07499035715106184, 'hidden_units': 512, 'learning_rate': 0.0016836788171026326, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5746,0.8747,1.6946,0.8735,0.8755,0.8747
"280","{'dropout': 0.05383955378852946, 'hidden_units': 256, 'learning_rate': 0.002144233100750773, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.5733,0.8602,1.7021,0.8615,0.8653,0.8602
"281","{'dropout': 0.10252029362179671, 'hidden_units': 512, 'learning_rate': 0.0014093918232173273, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.5762,0.8697,1.6941,0.8704,0.8755,0.8697
"282","{'dropout': 0.19380377911764587, 'hidden_units': 512, 'learning_rate': 0.0011712635164008703, 'optimizer': 'Adam', 'use_batch_norm': True}",9,1.5927,0.8602,1.6968,0.8624,0.8677,0.8602
"283","{'dropout': 0.04577519331556145, 'hidden_units': 64, 'learning_rate': 0.006624465098791938, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5807,0.8508,1.7015,0.8524,0.8573,0.8508
"284","{'dropout': 0.08983085086506726, 'hidden_units': 512, 'learning_rate': 0.0018366725765846187, 'optimizer': 'Adam', 'use_batch_norm': True}",12,1.5781,0.8641,1.6977,0.8659,0.8721,0.8641
"285","{'dropout': 0.11646759679079668, 'hidden_units': 128, 'learning_rate': 0.0010018588167929206, 'optimizer': 'Adam', 'use_batch_norm': False}",18,1.6305,0.8564,1.7042,0.8576,0.862,0.8564
"286","{'dropout': 0.1446412163838588, 'hidden_units': 512, 'learning_rate': 0.00159448115042489, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5708,0.858,1.6988,0.8595,0.869,0.858
"287","{'dropout': 0.009009827831692657, 'hidden_units': 512, 'learning_rate': 0.0012901301044955225, 'optimizer': 'Adam', 'use_batch_norm': True}",6,1.6003,0.8591,1.7011,0.8592,0.8645,0.8591
"288","{'dropout': 0.034312972428054325, 'hidden_units': 256, 'learning_rate': 0.001107364956987798, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5673,0.8641,1.6982,0.8654,0.8711,0.8641
"289","{'dropout': 0.06039174995980154, 'hidden_units': 512, 'learning_rate': 0.0013668004506880063, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5657,0.8441,1.7015,0.8477,0.8595,0.8441
"290","{'dropout': 0.02529710877512223, 'hidden_units': 512, 'learning_rate': 0.0012057948608740908, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5671,0.8769,1.694,0.8768,0.8783,0.8769
"291","{'dropout': 0.15805841965051626, 'hidden_units': 64, 'learning_rate': 0.002306417872375709, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.6038,0.8536,1.7059,0.8546,0.8608,0.8536
"292","{'dropout': 0.1286893104038301, 'hidden_units': 512, 'learning_rate': 0.003020906786630924, 'optimizer': 'Adam', 'use_batch_norm': False}",0,2.4471,0.0943,2.4553,0.0162,0.0089,0.0943
"293","{'dropout': 0.07061186902897135, 'hidden_units': 512, 'learning_rate': 0.0010631650907746417, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5654,0.8686,1.6953,0.8682,0.8705,0.8686
"294","{'dropout': 0.21688515872485223, 'hidden_units': 512, 'learning_rate': 0.002717656087498557, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5736,0.8669,1.6956,0.8671,0.8701,0.8669
"295","{'dropout': 0.09712819336847948, 'hidden_units': 128, 'learning_rate': 0.0014617901355709162, 'optimizer': 'Adam', 'use_batch_norm': True}",7,1.624,0.8719,1.7032,0.8719,0.8738,0.8719
"296","{'dropout': 0.2052861533486293, 'hidden_units': 512, 'learning_rate': 0.0017198456099176318, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5697,0.8641,1.6903,0.8653,0.8706,0.8641
"297","{'dropout': 0.08331844742817911, 'hidden_units': 256, 'learning_rate': 0.0050438304594077835, 'optimizer': 'Adam', 'use_batch_norm': True}",15,1.5849,0.8591,1.7101,0.8594,0.8645,0.8591
"298","{'dropout': 0.04687784803067372, 'hidden_units': 512, 'learning_rate': 0.00196204699987063, 'optimizer': 'Adam', 'use_batch_norm': False}",24,1.698,0.8353,1.7659,0.8167,0.801,0.8353
"299","{'dropout': 0.18560759935610568, 'hidden_units': 512, 'learning_rate': 0.0010041955219749507, 'optimizer': 'Adam', 'use_batch_norm': True}",18,1.5748,0.8636,1.6945,0.8656,0.8755,0.8636
"300","{'dropout': 0.11165450319474492, 'hidden_units': 64, 'learning_rate': 0.004276685224833507, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5876,0.8669,1.7064,0.8666,0.8681,0.8669
"301","{'dropout': 0.01586041007385546, 'hidden_units': 512, 'learning_rate': 0.0021049646551980347, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5689,0.868,1.697,0.868,0.8702,0.868
"302","{'dropout': 0.17529430507816868, 'hidden_units': 512, 'learning_rate': 0.0012645977212103212, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.5742,0.8453,1.7041,0.8497,0.8673,0.8453
"303","{'dropout': 0.13971558381805887, 'hidden_units': 128, 'learning_rate': 0.002445870129236284, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5782,0.8525,1.7089,0.8535,0.8586,0.8525
"304","{'dropout': 0.0022854047044904395, 'hidden_units': 512, 'learning_rate': 0.0015479882524306024, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5657,0.8713,1.6982,0.8694,0.8735,0.8713
"305","{'dropout': 0.12427686193326637, 'hidden_units': 512, 'learning_rate': 0.005594375862637828, 'optimizer': 'Adam', 'use_batch_norm': False}",0,2.4518,0.0765,2.451,0.0109,0.0059,0.0765
"306","{'dropout': 0.16302507004527383, 'hidden_units': 256, 'learning_rate': 0.001119341848920178, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5789,0.8702,1.7004,0.8701,0.8722,0.8702
"307","{'dropout': 0.058108358461373764, 'hidden_units': 512, 'learning_rate': 0.0018413172735022468, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5655,0.873,1.692,0.8732,0.8751,0.873
"308","{'dropout': 0.03132293635627928, 'hidden_units': 512, 'learning_rate': 0.0013574195014626996, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5679,0.863,1.6974,0.864,0.87,0.863
"309","{'dropout': 0.06884242960239947, 'hidden_units': 64, 'learning_rate': 0.003447336261285632, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.589,0.8414,1.7137,0.8426,0.8535,0.8414
"310","{'dropout': 0.2449930207187266, 'hidden_units': 512, 'learning_rate': 0.0038954819190225552, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5788,0.8697,1.6975,0.8693,0.8712,0.8697
"311","{'dropout': 0.09521889449252928, 'hidden_units': 512, 'learning_rate': 0.0011908551326360807, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5666,0.8774,1.6917,0.8775,0.8789,0.8774
"312","{'dropout': 0.14984655496440266, 'hidden_units': 128, 'learning_rate': 0.0016127683148177716, 'optimizer': 'Adam', 'use_batch_norm': False}",20,1.6293,0.8525,1.7027,0.8531,0.8563,0.8525
"313","{'dropout': 0.08387535834960998, 'hidden_units': 512, 'learning_rate': 0.002900395056888551, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5718,0.8447,1.6985,0.8485,0.8612,0.8447
"314","{'dropout': 0.10701329428529756, 'hidden_units': 512, 'learning_rate': 0.0014310999567915888, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.57,0.8658,1.6964,0.8657,0.8692,0.8658
"315","{'dropout': 0.041622463082484726, 'hidden_units': 256, 'learning_rate': 0.0010018186794092956, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5691,0.8641,1.6962,0.8662,0.8741,0.8641
"316","{'dropout': 0.1997024670338609, 'hidden_units': 512, 'learning_rate': 0.0017474363834960006, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.5749,0.8652,1.6939,0.8664,0.8726,0.8652
"317","{'dropout': 0.05204537017172823, 'hidden_units': 512, 'learning_rate': 0.002599800174006223, 'optimizer': 'Adam', 'use_batch_norm': True}",15,1.5765,0.8741,1.696,0.8749,0.8767,0.8741
"318","{'dropout': 0.022210548383700027, 'hidden_units': 64, 'learning_rate': 0.003203225479491466, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.575,0.8497,1.7088,0.8522,0.8604,0.8497
"319","{'dropout': 0.0006619304402017551, 'hidden_units': 512, 'learning_rate': 0.0022486792692861285, 'optimizer': 'Adam', 'use_batch_norm': False}",0,2.4561,0.0555,2.4413,0.0058,0.0031,0.0555
"320","{'dropout': 0.4750801086299654, 'hidden_units': 512, 'learning_rate': 0.0020279158385408773, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5875,0.8569,1.7016,0.8572,0.8614,0.8569
"321","{'dropout': 0.07727021961106455, 'hidden_units': 128, 'learning_rate': 0.001065783606295028, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.5885,0.8808,1.7052,0.8792,0.882,0.8808
"322","{'dropout': 0.2798539578296221, 'hidden_units': 512, 'learning_rate': 0.0012408357894424598, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5714,0.8591,1.6959,0.8616,0.8717,0.8591
"323","{'dropout': 0.009308601274772912, 'hidden_units': 512, 'learning_rate': 0.0015601390744159566, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5642,0.8663,1.7003,0.8663,0.8691,0.8663
"324","{'dropout': 0.1352604190255001, 'hidden_units': 512, 'learning_rate': 0.0011595098157458621, 'optimizer': 'Adam', 'use_batch_norm': True}",6,1.6103,0.8575,1.7038,0.8588,0.8658,0.8575
"325","{'dropout': 0.11486181648557435, 'hidden_units': 512, 'learning_rate': 0.0012989372538390457, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5651,0.8735,1.7011,0.8721,0.8736,0.8735
"326","{'dropout': 0.06318229031687994, 'hidden_units': 256, 'learning_rate': 0.001911582332332671, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5689,0.8502,1.702,0.8516,0.8598,0.8502
"327","{'dropout': 0.23081956982491603, 'hidden_units': 64, 'learning_rate': 0.0014696892755735992, 'optimizer': 'Adam', 'use_batch_norm': False}",22,1.6486,0.8486,1.7067,0.8499,0.8539,0.8486
"328","{'dropout': 0.16771840067838878, 'hidden_units': 512, 'learning_rate': 0.0036270307331635852, 'optimizer': 'Adam', 'use_batch_norm': True}",18,1.5775,0.8552,1.7071,0.8568,0.8614,0.8552
"329","{'dropout': 0.10196519854890981, 'hidden_units': 512, 'learning_rate': 0.0013834594090011878, 'optimizer': 'Adam', 'use_batch_norm': True}",13,1.5759,0.8636,1.6964,0.8639,0.8699,0.8636
"330","{'dropout': 0.1199247309865685, 'hidden_units': 128, 'learning_rate': 0.007202849227813562, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.5932,0.8464,1.7067,0.8484,0.8573,0.8464
"331","{'dropout': 0.03782591989368911, 'hidden_units': 512, 'learning_rate': 0.0016883000551634246, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.5696,0.8774,1.6935,0.8756,0.877,0.8774
"332","{'dropout': 0.08948287467805655, 'hidden_units': 512, 'learning_rate': 0.002188226279084318, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5796,0.8619,1.6982,0.8641,0.8714,0.8619
"333","{'dropout': 0.3022831706771949, 'hidden_units': 256, 'learning_rate': 0.0024011413978418986, 'optimizer': 'Adam', 'use_batch_norm': True}",18,1.5901,0.8625,1.7084,0.8631,0.8689,0.8625
"334","{'dropout': 0.18234828098899558, 'hidden_units': 512, 'learning_rate': 0.0010870481771005419, 'optimizer': 'Adam', 'use_batch_norm': False}",16,1.6358,0.853,1.6926,0.8551,0.8627,0.853
"335","{'dropout': 0.1522929407475322, 'hidden_units': 512, 'learning_rate': 0.001794947308933646, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5704,0.8658,1.6956,0.8662,0.8705,0.8658
"336","{'dropout': 0.02747178810684722, 'hidden_units': 512, 'learning_rate': 0.0011628077836158856, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5659,0.8669,1.6961,0.868,0.8721,0.8669
"337","{'dropout': 0.04956248195711334, 'hidden_units': 64, 'learning_rate': 0.001337748259670143, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5875,0.8569,1.7082,0.8594,0.8666,0.8569
"338","{'dropout': 0.19334541347889955, 'hidden_units': 512, 'learning_rate': 0.001002001332984745, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5708,0.8608,1.6975,0.8616,0.8663,0.8608
"339","{'dropout': 0.1422999491955348, 'hidden_units': 128, 'learning_rate': 0.002811786896516235, 'optimizer': 'Adam', 'use_batch_norm': True}",12,1.5942,0.8525,1.7063,0.8544,0.8599,0.8525
"340","{'dropout': 0.014842221055873324, 'hidden_units': 512, 'learning_rate': 0.0014867015868778404, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.5704,0.8647,1.6971,0.8645,0.8686,0.8647
"341","{'dropout': 0.21034540191792325, 'hidden_units': 512, 'learning_rate': 0.0012406319373015678, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5719,0.858,1.6938,0.8592,0.867,0.858
"342","{'dropout': 0.07925501307522868, 'hidden_units': 256, 'learning_rate': 0.002044883458389204, 'optimizer': 'Adam', 'use_batch_norm': False}",12,1.6536,0.8514,1.6976,0.8543,0.8622,0.8514
"343","{'dropout': 0.0004939094227273816, 'hidden_units': 512, 'learning_rate': 0.0016593815475044722, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5679,0.8719,1.6935,0.8707,0.8719,0.8719
"344","{'dropout': 0.12868904426614128, 'hidden_units': 512, 'learning_rate': 0.0030940845365833463, 'optimizer': 'Adam', 'use_batch_norm': True}",11,1.5885,0.853,1.7002,0.854,0.8657,0.853
"345","{'dropout': 0.26345792625167663, 'hidden_units': 64, 'learning_rate': 0.0010751171973723472, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.6177,0.8558,1.7177,0.8567,0.861,0.8558
"346","{'dropout': 0.06767136917699221, 'hidden_units': 512, 'learning_rate': 0.012712440887347366, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5965,0.8663,1.6986,0.868,0.8739,0.8663
"347","{'dropout': 0.37332585908286586, 'hidden_units': 512, 'learning_rate': 0.00782278683581054, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.6051,0.8497,1.701,0.8529,0.8614,0.8497
"348","{'dropout': 0.22349028868651966, 'hidden_units': 512, 'learning_rate': 0.010189391623687842, 'optimizer': 'Adam', 'use_batch_norm': False}",0,2.449,0.0943,2.4553,0.0162,0.0089,0.0943
"349","{'dropout': 0.15876165469551662, 'hidden_units': 128, 'learning_rate': 0.0018641949227754715, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.581,0.8591,1.7012,0.8584,0.8607,0.8591
"350","{'dropout': 0.0996265104845483, 'hidden_units': 512, 'learning_rate': 0.006092532872051207, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5834,0.8625,1.7014,0.8611,0.8635,0.8625
"351","{'dropout': 0.0410783743802941, 'hidden_units': 256, 'learning_rate': 0.00156159832335177, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5687,0.8724,1.6904,0.8727,0.8751,0.8724
"352","{'dropout': 0.058577787612387716, 'hidden_units': 512, 'learning_rate': 0.001308167467638384, 'optimizer': 'Adam', 'use_batch_norm': True}",15,1.5727,0.8697,1.6964,0.8707,0.8758,0.8697
"353","{'dropout': 0.17542208002318205, 'hidden_units': 512, 'learning_rate': 0.0011536816031434015, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5666,0.8763,1.698,0.8751,0.8763,0.8763
"354","{'dropout': 0.12102681268531408, 'hidden_units': 512, 'learning_rate': 0.002604880330542212, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.574,0.8669,1.6944,0.8667,0.8718,0.8669
"355","{'dropout': 0.08676360866040674, 'hidden_units': 64, 'learning_rate': 0.014466583267920864, 'optimizer': 'Adam', 'use_batch_norm': False}",18,1.8583,0.7316,1.8461,0.7061,0.6921,0.7316
"356","{'dropout': 0.028052687830005807, 'hidden_units': 512, 'learning_rate': 0.0023085824670228544, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5699,0.8724,1.6944,0.8718,0.8736,0.8724
"357","{'dropout': 0.4187260263759339, 'hidden_units': 512, 'learning_rate': 0.019682616837277733, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.6658,0.8247,1.7294,0.8283,0.8438,0.8247
"358","{'dropout': 0.01607271242281075, 'hidden_units': 128, 'learning_rate': 0.0010069304704466116, 'optimizer': 'Adam', 'use_batch_norm': True}",10,1.6073,0.8647,1.7029,0.8656,0.8696,0.8647
"359","{'dropout': 0.0739558002047728, 'hidden_units': 512, 'learning_rate': 0.0013968095908402447, 'optimizer': 'RMSprop', 'use_batch_norm': True}",18,1.5732,0.8697,1.7051,0.87,0.8746,0.8697
"360","{'dropout': 0.13761358190572592, 'hidden_units': 512, 'learning_rate': 0.0019713627295986414, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5678,0.8625,1.6976,0.863,0.8708,0.8625
"361","{'dropout': 0.10855143262293883, 'hidden_units': 256, 'learning_rate': 0.0044873437228922265, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5789,0.858,1.7004,0.8592,0.8647,0.858
"362","{'dropout': 0.14804367418096637, 'hidden_units': 512, 'learning_rate': 0.0021334998021068185, 'optimizer': 'Adam', 'use_batch_norm': False}",23,1.7939,0.7881,1.8603,0.7554,0.7357,0.7881
"363","{'dropout': 0.09510273501679009, 'hidden_units': 512, 'learning_rate': 0.0012496837458562296, 'optimizer': 'Adam', 'use_batch_norm': True}",18,1.5691,0.8591,1.6988,0.8608,0.8693,0.8591
"364","{'dropout': 0.4526689214496172, 'hidden_units': 512, 'learning_rate': 0.0017368850334848075, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5976,0.8575,1.703,0.8586,0.8613,0.8575
"365","{'dropout': 0.051598657079273864, 'hidden_units': 64, 'learning_rate': 0.001051899836606945, 'optimizer': 'Adam', 'use_batch_norm': True}",15,1.6073,0.858,1.7112,0.8593,0.8642,0.858
"366","{'dropout': 0.0002741428317502353, 'hidden_units': 512, 'learning_rate': 0.0015038235298057891, 'optimizer': 'RMSprop', 'use_batch_norm': True}",17,1.5736,0.8619,1.698,0.8638,0.87,0.8619
"367","{'dropout': 0.03995854642331727, 'hidden_units': 128, 'learning_rate': 0.001120247867469153, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5778,0.8691,1.7061,0.8693,0.8723,0.8691
"368","{'dropout': 0.3242881703933709, 'hidden_units': 512, 'learning_rate': 0.0016133724116011948, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.575,0.8597,1.7011,0.8606,0.8636,0.8597
"369","{'dropout': 0.2356737587865307, 'hidden_units': 512, 'learning_rate': 0.001211223058574494, 'optimizer': 'Adam', 'use_batch_norm': False}",16,1.6385,0.8608,1.6934,0.8618,0.867,0.8608
"370","{'dropout': 0.2523100903216103, 'hidden_units': 256, 'learning_rate': 0.0013955193234242884, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5904,0.858,1.7014,0.8597,0.8661,0.858
"371","{'dropout': 0.18879005184999034, 'hidden_units': 512, 'learning_rate': 0.002434690837984535, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.5762,0.8674,1.6976,0.8679,0.8695,0.8674
"372","{'dropout': 0.20114322303624785, 'hidden_units': 512, 'learning_rate': 0.005061537352068194, 'optimizer': 'Adam', 'use_batch_norm': True}",11,1.6031,0.8636,1.6986,0.864,0.8692,0.8636
"373","{'dropout': 0.1654048013405652, 'hidden_units': 64, 'learning_rate': 0.0040929678632345475, 'optimizer': 'RMSprop', 'use_batch_norm': True}",17,1.6036,0.8502,1.7142,0.8521,0.858,0.8502
"374","{'dropout': 0.13309800486910467, 'hidden_units': 512, 'learning_rate': 0.0033752902124666367, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5724,0.8713,1.6982,0.8716,0.874,0.8713
"375","{'dropout': 0.07377355816794579, 'hidden_units': 512, 'learning_rate': 0.0018449142073731991, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5653,0.8763,1.6916,0.8749,0.875,0.8763
"376","{'dropout': 0.022106408352018075, 'hidden_units': 128, 'learning_rate': 0.0027253984787573406, 'optimizer': 'Adam', 'use_batch_norm': False}",15,1.6495,0.8569,1.7038,0.8593,0.8643,0.8569
"377","{'dropout': 0.11910359472132542, 'hidden_units': 512, 'learning_rate': 0.0013096676559055294, 'optimizer': 'Adam', 'use_batch_norm': True}",13,1.5786,0.8636,1.7021,0.8641,0.87,0.8636
"378","{'dropout': 0.009858163975027453, 'hidden_units': 512, 'learning_rate': 0.003767349939907469, 'optimizer': 'Adam', 'use_batch_norm': True}",15,1.5793,0.8691,1.6949,0.8689,0.8701,0.8691
"379","{'dropout': 0.10488776517153589, 'hidden_units': 256, 'learning_rate': 0.0010026370012691495, 'optimizer': 'RMSprop', 'use_batch_norm': True}",7,1.6093,0.8597,1.702,0.8612,0.8678,0.8597
"380","{'dropout': 0.060380960834106066, 'hidden_units': 512, 'learning_rate': 0.0014634045179880303, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5664,0.8669,1.6965,0.8692,0.8765,0.8669
"381","{'dropout': 0.030537589014355007, 'hidden_units': 512, 'learning_rate': 0.0022152438179492183, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.5708,0.8691,1.7001,0.8685,0.8712,0.8691
"382","{'dropout': 0.08915743829924706, 'hidden_units': 64, 'learning_rate': 0.0029542511369988838, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5836,0.8475,1.7129,0.8477,0.8598,0.8475
"383","{'dropout': 0.1764565015769139, 'hidden_units': 512, 'learning_rate': 0.0016654116013116464, 'optimizer': 'Adam', 'use_batch_norm': False}",15,1.6499,0.8519,1.6971,0.8535,0.8622,0.8519
"384","{'dropout': 0.21403715313701605, 'hidden_units': 512, 'learning_rate': 0.0011334344127483277, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5693,0.863,1.7011,0.8635,0.8679,0.863
"385","{'dropout': 0.04457806750425474, 'hidden_units': 128, 'learning_rate': 0.0012019016076203642, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5777,0.8669,1.7005,0.8668,0.8691,0.8669
"386","{'dropout': 0.15783519777896066, 'hidden_units': 512, 'learning_rate': 0.0018976883567242827, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5725,0.8669,1.6979,0.8673,0.8693,0.8669
"387","{'dropout': 0.06461789671756621, 'hidden_units': 512, 'learning_rate': 0.005405583342869014, 'optimizer': 'RMSprop', 'use_batch_norm': True}",23,1.5898,0.8447,1.7077,0.8461,0.8526,0.8447
"388","{'dropout': 0.3873751079884158, 'hidden_units': 512, 'learning_rate': 0.0020949553751095544, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5815,0.8486,1.7025,0.8505,0.859,0.8486
"389","{'dropout': 0.08120481455258688, 'hidden_units': 256, 'learning_rate': 0.0015431155849775127, 'optimizer': 'Adam', 'use_batch_norm': True}",18,1.5736,0.8719,1.6949,0.8711,0.8765,0.8719
"390","{'dropout': 0.12904652940905964, 'hidden_units': 512, 'learning_rate': 0.0010534369767035972, 'optimizer': 'Adam', 'use_batch_norm': False}",24,1.6071,0.8669,1.6953,0.8671,0.8695,0.8669
