params,iteration,train_loss,val_accuracy,val_loss,val_f1,val_precision,val_recall
"{'bidirectional': True, 'dropout_prop': 0.3597398896641933, 'learning_rate': 0.006129374538617774, 'nb_lstm_layers': 2, 'nb_lstm_units': 128, 'sent_length': 15, 'use_class_weights': True}",9,0.1509,0.977,0.088,0.9772,0.9766,0.9765
"{'bidirectional': False, 'dropout_prop': 0.27717376472684596, 'learning_rate': 0.01777519727860266, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",4,2.219,0.234,2.1419,0.0549,0.2344,0.089
"{'bidirectional': True, 'dropout_prop': 0.24451332637668993, 'learning_rate': 0.013875779507645035, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 10, 'use_class_weights': False}",9,0.226,0.93,0.261,0.9389,0.9297,0.931
"{'bidirectional': True, 'dropout_prop': 0.38165014778152706, 'learning_rate': 0.004565668562072764, 'nb_lstm_layers': 2, 'nb_lstm_units': 128, 'sent_length': 15, 'use_class_weights': True}",9,0.2052,0.945,0.1719,0.9586,0.9453,0.9477
"{'bidirectional': False, 'dropout_prop': 0.19569148501109795, 'learning_rate': 0.0029613335881951133, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",8,2.2691,0.227,2.1969,0.0513,0.2266,0.0837
"{'bidirectional': True, 'dropout_prop': 0.14855869160862709, 'learning_rate': 0.012674718342099987, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",8,0.0559,0.992,0.0413,0.9927,0.9922,0.991
"{'bidirectional': True, 'dropout_prop': 0.2301872339686688, 'learning_rate': 0.02462020387434283, 'nb_lstm_layers': 2, 'nb_lstm_units': 128, 'sent_length': 10, 'use_class_weights': False}",5,0.7816,0.836,0.4987,0.8244,0.8359,0.8242
"{'bidirectional': True, 'dropout_prop': 0.49449468486842013, 'learning_rate': 0.011121049826680867, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': True}",9,0.1592,0.961,0.1017,0.9671,0.9609,0.9623
"{'bidirectional': False, 'dropout_prop': 0.28495521262367146, 'learning_rate': 0.020881371938285365, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",7,1.828,0.484,1.584,0.2625,0.4844,0.3374
"{'bidirectional': True, 'dropout_prop': 0.01656460540510407, 'learning_rate': 0.005903781078424451, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",7,0.1201,0.961,0.0759,0.9621,0.9609,0.9607
"{'bidirectional': True, 'dropout_prop': 0.20424091117877813, 'learning_rate': 0.005015884942074532, 'nb_lstm_layers': 3, 'nb_lstm_units': 128, 'sent_length': 10, 'use_class_weights': False}",8,0.2401,0.945,0.1506,0.9502,0.9453,0.9452
